"setor";"categoria";"fornecedor";"nf";"boleto";"dataEmissao";"dataVencimento";"status";"ap";"codFornecedor";"alerta";"apLocalizada";"motivoAlerta";"enviarAlerta";"observacoes"
"Sistemas e Projetos";"Sistema";"VIABIL";"50779";"2055.95";"2026-03-13";"2099-03-16";"";"";"";"🟢 OK";"Não";"";"Não";"VIABIL|50779|20990316"
"Sistemas e Projetos";"Sistema";"totalCAD";"29496";"5156";"";"2099-03-16";"";"";"";"🟢 OK";"Não";"";"Não";"totalCAD|29496|20990316"
"Sistemas e Projetos";"Sistema";"SAUCE Digital";"3039";"149";"2026-04-01";"2026-05-10";"";"";"";"🔴 VENCIDO";"Não";"Vencido há 15 dias";"Sim";"SAUCE Digital|3039|20260510"
"Sistemas e Projetos";"Sistema";"Senior MEGA";"593983";"748.61";"2026-05-05";"2026-05-19";"Aguardando Pagamento";"AP 52528";"1545";"🔴 VENCIDO";"Sim";"Vencido há 6 dias";"Sim";"Senior MEGA|593983|20260519"
"Sistemas e Projetos";"Sistema";"Senior MEGA";"119249";"38011.17";"2026-05-05";"2026-05-25";"Pago";"AP 52530";"2026";"🟢 OK";"Sim";"";"Não";"Senior MEGA|119249|20260525"
"Sistemas e Projetos";"Sistema";"Senior MEGA";"118618";"26798";"2026-05-05";"2026-06-01";"Aguardando Pagamento";"AP 52532";"2026";"🟡 Vence em 7 dias";"Sim";"Vence em 7 dias - AP criada, aguardando pagamento";"Sim";"Senior MEGA|118618|20260601"
"Sistemas e Projetos";"Sistema";"Clickup";"";"";"";"2099-03-16";"";"";"";"🟢 OK";"Não";"";"Não";"Clickup||20990316"
"Sistemas e Projetos";"Sistema";"MaxOR";"";"";"";"2099-03-16";"";"";"";"🟢 OK";"Não";"";"Não";"MaxOR||20990316"
"Sistemas e Projetos";"Sistema";"Clicksign";"";"";"";"2099-03-16";"";"";"";"🟢 OK";"Não";"";"Não";"Clicksign||20990316"
"Sistemas e Projetos";"Sistema";"CV";"13317";"1225";"";"2026-05-20";"Pago";"AP 52333";"";"🟢 OK";"Sim";"";"Não";"CV|13317|20260520"
"Sistemas e Projetos";"Sistema";"CV";"12733";"5865.93";"";"2026-05-20";"Pago";"AP 52331";"";"🟢 OK";"Sim";"";"Não";"CV|12733|20260520"
"Sistemas e Projetos";"Sistema";"CV";"12817";"3451.39";"";"2026-05-20";"Pago";"AP 52340";"";"🟢 OK";"Sim";"";"Não";"CV|12817|20260520"
"Sistemas e Projetos";"Sistema";"CV";"13052";"472.86";"";"2026-05-20";"Pago";"AP 52337";"";"🟢 OK";"Sim";"";"Não";"CV|13052|20260520"
"Sistemas e Projetos";"Sistema";"Target";"";"";"";"2099-03-16";"";"";"";"🟢 OK";"Não";"";"Não";"Target||20990316"
"Sistemas e Projetos";"Sistema";"Adobe Cloud";"245821";"14610.66";"2026-05-08";"2026-06-07";"";"";"";"🟢 OK";"Não";"";"Não";"Adobe Cloud|245821|20260607"
"Sistemas e Projetos";"Sistema";"Adobe Cloud";"245821";"14610.66";"2026-05-08";"2026-07-07";"";"";"";"🟢 OK";"Não";"";"Não";"Adobe Cloud|245821|20260707"
"Sistemas e Projetos";"Sistema";"Adobe Cloud";"245821";"14610.68";"2026-05-08";"2026-08-06";"";"";"";"🟢 OK";"Não";"";"Não";"Adobe Cloud|245821|20260806"
"Sistemas e Projetos";"Sistema";"Revit";"";"10198";"2026-04-30";"2026-05-30";"";"";"";"🟡 Vence em 5 dias";"Não";"Vence em 5 dias - sem AP criada/localizada";"Sim";"Revit||20260530"
"Sistemas e Projetos";"Sistema";"Revit";"";"10198";"2026-04-30";"2026-06-30";"";"";"";"🟢 OK";"Não";"";"Não";"Revit||20260630"
"Sistemas e Projetos";"Sistema";"Revit";"";"10198";"";"2026-07-30";"";"";"";"🟢 OK";"Não";"";"Não";"Revit||20260730"
